college,location,university,course_offered,ownership_type,phone_number,email,university_encoded,ownership_encoded,location_encoded
pashupati multiple campus,mitrapark chabhil kathmandu,national examinations board,master of business studies mbs bachelor of education bed ma in sociology ma in nepali ma nepali ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education ten plus two 2 management 2 mangement bachelor of arts ba bachelor of business studies bbs bachelor of computer application bca,community institution,014470412 014468364,pashupati2037hotmailcom,24,1,649
dhading multiple campus,baireni7 mastar baireni galchi dhading,tribhuvan university,bachelor of business studies bbs,community institution,,,34,1,48
lamki multiple campus,lamki lamkichuha kailali,tribhuvan university,bachelor of business studies bbs bachelor of arts ba bachelor of education bed,community institution,091540462,,34,1,561
simle mahakali multiple campus,thakre dhading,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,,,34,1,924
shaheed smriti multiple campus,ratnanagar bharatpur ratnanagar chitwan,tribhuvan university,bachelor of business management bbm bachelor of arts ba bachelor of education bed bachelor of business studies bbs ma in sociology master of business studies mbs med in english language education med education planning and management master of education in health education med master of education in population education med med nepali language education bachelor of education in information communication technology bicte,community institution,056560147 056561447 056563047,infossmcchitwanedunp,34,1,783
sindhuli multiple campus,sindhulimadi kamalamai sindhuli,national examinations board,master of business studies mbs ten plus two 2 education 2 education bachelor of education bed bachelor of business studies bbs bachelor of arts ba ten plus two 2 humanities 2 humanities ten plus two 2 management 2 mangement ma in sociology med education planning and management med nepali language education master of education in population education med bachelor of business administration bba,community institution,047520066,infosindhulicampusedunp,24,1,866
achham multiple campus,mangalsen mangalsen achham,tribhuvan university,bachelor of business studies bbs bachelor of education bed master of business studies mbs,community institution,097620134,infoachhamcampusedunp,34,1,615
nilkantha multiple campus,nilkantha3 dhading besi nilkantha nilakantha dhading,tribhuvan university,bachelor of business studies bbs bachelor of education bed master of education general med bachelor of arts ba master of business studies mbs bachelor of education in information communication technology bicte,community institution,010520369 520106,infonilkanthacampusedunp,34,1,684
kumarwarti multiple campus,kawasoti nawalpur,national examinations board,bachelor of business studies bbs bachelor of education bed master of business studies mbs ten plus two 2 management 2 mangement ten plus two 2 education 2 education bachelor of arts ba master of education general med ma in sociology,community institution,078540115,,24,1,487
shankarpur campus,malikaarjun darchula,tribhuvan university,bachelor of education bed,community institution,,,34,1,607
madhya rautahat multiple campus,garuda bairiya garuda garuda rautahat,tribhuvan university,bachelor of education bed bachelor of business studies bbs bachelor of arts ba master of business studies mbs,community institution,,,34,1,351
rapti babai campus,tulsipur dang,tribhuvan university,bachelor of arts ba bachelor of business studies bbs bachelor of education bed master of education general med master of business studies mbs ma in sociology,community institution,082520316 082522726,rbcdanggmailcom,34,1,957
purandhara campus,purandhara5 hansapur babai dang,tribhuvan university,bachelor of education bed,community institution,,,34,1,738
mangala campus,suryapal sotipasal suryapal madhyanepal lamjung,tribhuvan university,bachelor of education bed,community institution,,,34,1,902
kalika himalaya campus,kalikasthan dhaibung  5 kalikasthan kalika rasuwa,tribhuvan university,bachelor of education bed bachelor of business studies bbs,community institution,010670159,,34,1,465
sarbamangala multiple campus,panchkhal4 panchkhal panchkhal kavrepalanchok,tribhuvan university,bachelor of business studies bbs bachelor of education bed bachelor of arts ba,community institution,977011499058 499061,highersarbamangalahotmailcom,34,1,702
mahankal campus,gotikhel mahankal lalitpur,tribhuvan university,bachelor of education bed bachelor of business studies bbs,community institution,97716226858,schoolmahankaledunp,34,1,386
tej ganga multiple campus,panauti kapalkot panauti kavrepalanchok,national examinations board,bachelor of business studies bbs bachelor of education bed bachelor of arts ba master of education general med ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education ten plus two 2 management 2 mangement master of business studies mbs,community institution,011440028 011441477,infotejgangaedunp,24,1,700
lalit multiple campus,pulchowk lalitpur,tribhuvan university,master of education general med bachelor of business studies bbs bachelor of education bed,community institution,015004220,,34,1,735
kitini college,godawary taukhel godawari lalitpur,tribhuvan university,bachelor of arts ba bachelor of education bed bachelor of business studies bbs,community institution,015560564,,34,1,372
kanpur campus,kanpur namobuddha kavrepalanchok,tribhuvan university,bachelor of education bed,community institution,011683444,,34,1,474
rawa campus,kharpa lamidanda khotang,tribhuvan university,bachelor of education bed,community institution,,,34,1,503
khwopa college of engineering,libali bhaktapur,tribhuvan university,bachelor of civil engineering be civil bachelor of electrical engineering be bachelor of computer engineering be,community institution,97716614794 016614798,khecwlinkcomnp,34,1,570
janak multiple campus,methinkot8 methinkot namobuddha kavrepalanchok,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,,,34,1,640
rabi campus,rabi miklajung panchthar,tribhuvan university,bachelor of education bed bachelor of business studies bbs,community institution,9742037101,,34,1,747
mahendra adarsha vidhyashram college,satdobato lalitpur,tribhuvan university,bachelor of business studies bbs,community institution,0155540669840023220,,34,1,825
chaitanya multiple campus,banepa municipality6 banepa kavrepalanchok,national examinations board,masters of education in mathematics education med education planning and management med in english language education med nepali language education ten plus two 2 management 2 mangement ten plus two 2 education 2 education bachelor of business studies bbs bachelor of education bed,community institution,011661722,infochaitanyaedunp,24,1,65
bhim datta multiple campus,amargadhi amargadhi dadeldhura,tribhuvan university,bachelor of business studies bbs,community institution,,,34,1,13
chhathar campus,chhathar tehrathum,tribhuvan university,bachelor of education bed,community institution,,,34,1,233
pathibhara multiple campus,phuiling taplejung,national examinations board,bachelor of arts ba bachelor of business studies bbs bachelor of education bed ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education ten plus two 2 management 2 mangement,community institution,024460228,,24,1,722
abukhairani campus,aanbu khaireni anbukhaireni tanahun,tribhuvan university,bachelor of education bed bachelor of business studies bbs,community institution,065540452,,34,1,1
bandipur campus,bandipur tanahun,national examinations board,bachelor of education bed ten plus two 2 education 2 education,community institution,9846167743 065520168,,24,1,63
bhanubhakta multiple campus,khaireni belchautara khaireni shuklagandaki tanahun,tribhuvan university,bachelor of business studies bbs bachelor of education bed med education planning and management,community institution,065570240,,34,1,495
